Metric,Old API,New API
Mean Latency (ms),179.619140625,169.39729817708334
Median Latency (ms),180.793212890625,161.4951171875
Min Latency (ms),166.027099609375,136.307861328125
Max Latency (ms),192.037109375,210.388916015625
Std Dev Latency (ms),13.04469188082491,37.66741316041215
